Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Minutes_Played,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,Pass_Accuracy,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Interceptions,TklW,OG,Goals_per_90,Assists_per_90,Interceptions_per_90,Performance_Score,Predicted_Score,Value_Difference
1164,Stanis Idumbo,be BEL,MF,Monaco,fr Ligue 1,20.0,2005.0,8,0,171,1.9,1,1,2,1,0,0,0,0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,1164,be BEL,MF,fr Ligue 1,20-303,2005.0,1.9,1,6,2,33.3,3.16,1.05,0.17,0.5,0,0,1454,be BEL,MF,fr Ligue 1,20-303,2005.0,8,171,21,6.1,1.9,0,,0,8,21.0,12,1.0,6,5,1,0.53,0.32,1164,be BEL,MF,fr Ligue 1,20-303,2005.0,1.9,0,0,0,3,2,0,1,0,3,0,0.5263157894736842,0.5263157894736842,0.0,0.3684210526315789,0.07557731261172601,0.2928437400198529
196,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,23.0,2002.0,3,0,107,1.2,1,2,3,1,0,0,0,0,2.52,,,,,,,,,,,,,,,,,,,,,,,,,196,fr FRA,"FW,MF",fr Ligue 1,23-245,2002.0,1.2,1,2,1,50.0,1.68,0.84,0.5,1.0,0,0,246,fr FRA,"FW,MF",fr Ligue 1,23-245,2002.0,3,107,36,4.0,1.2,0,,0,3,36.0,0,2.0,4,2,2,1.68,1.4,196,fr FRA,"FW,MF",fr Ligue 1,23-245,2002.0,1.2,0,0,0,0,4,0,8,1,1,0,0.8411214953271028,1.6822429906542056,0.8411214953271028,1.0934579439252337,0.8424400310089644,0.2510179129162693
2571,Stefanos Tzimas,gr GRE,FW,Brighton,eng Premier League,20.0,2006.0,9,1,139,1.5,1,1,2,1,0,0,0,0,1.29,,,,,,,,,,,,,,,,,,,,,,,,,2571,gr GRE,FW,eng Premier League,20-112,2006.0,1.5,1,4,1,25.0,2.59,0.65,0.25,1.0,0,0,3246,gr GRE,FW,eng Premier League,20-112,2006.0,9,139,15,4.5,1.5,1,23.0,0,8,15.0,2,1.56,7,2,5,3.24,3.11,2571,gr GRE,FW,eng Premier League,20-112,2006.0,1.5,0,0,0,4,1,1,1,0,1,0,0.6474820143884893,0.6474820143884893,0.0,0.4532374100719425,0.20395633940625732,0.2492810706656852
1710,Jovan Milošević,rs SRB,FW,Werder Bremen,de Bundesliga,20.0,2005.0,12,4,443,4.9,3,1,4,3,0,0,2,0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,1710,rs SRB,FW,de Bundesliga,20-271,2005.0,4.9,3,12,4,33.3,2.44,0.81,0.25,0.75,0,0,2144,rs SRB,FW,de Bundesliga,20-271,2005.0,12,443,37,15.9,4.9,4,70.0,1,8,20.0,1,0.75,9,9,0,0.0,0.69,1710,rs SRB,FW,de Bundesliga,20-271,2005.0,4.9,2,0,0,7,2,5,3,0,2,0,0.6094808126410836,0.20316027088036115,0.0,0.3047404063205418,0.07557731261172601,0.22916309370881577
1679,Paul Mendy,sn SEN,FW,Cagliari,it Serie A,19.0,2007.0,5,1,129,1.4,2,0,2,2,0,0,0,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,1679,sn SEN,FW,it Serie A,19-117,2007.0,1.4,2,6,2,33.3,4.19,1.4,0.33,1.0,0,0,2102,sn SEN,FW,it Serie A,19-117,2007.0,5,129,26,4.2,1.4,1,45.0,0,4,21.0,6,1.2,3,3,0,0.0,0.4,1679,sn SEN,FW,it Serie A,19-117,2007.0,1.4,0,0,0,4,2,1,0,1,0,0,1.3953488372093024,0.0,0.6976744186046512,0.7674418604651163,0.571529778602657,0.19591208186245934
2613,Robinio Vaz,fr FRA,FW,Marseille,fr Ligue 1,19.0,2007.0,14,3,379,4.2,4,2,6,4,0,0,2,0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,2613,fr FRA,FW,fr Ligue 1,19-070,2007.0,4.2,4,8,6,75.0,1.9,1.42,0.5,0.67,0,0,3294,fr FRA,FW,fr Ligue 1,19-070,2007.0,14,379,27,13.6,4.2,3,59.0,0,11,18.0,2,1.86,16,6,10,2.37,2.08,2613,fr FRA,FW,fr Ligue 1,19-070,2007.0,4.2,2,0,0,8,9,3,4,3,4,0,0.9498680738786279,0.47493403693931396,0.712401055408971,0.7361477572559367,0.5455086079326509,0.19063914932328585
471,Fabio Carvalho,pt POR,MF,Brentford,eng Premier League,23.0,2002.0,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,471,pt POR,MF,eng Premier League,23-241,2002.0,1.1,1,2,1,50.0,1.76,0.88,0.5,1.0,0,0,582,pt POR,MF,eng Premier League,23-241,2002.0,6,102,17,3.3,1.1,1,90.0,1,5,2.0,4,0.17,2,4,-2,-1.76,-1.92,471,pt POR,MF,eng Premier League,23-241,2002.0,1.1,0,0,0,0,0,0,5,0,2,0,0.8823529411764706,0.0,0.0,0.35294117647058826,0.1670180598732786,0.18592311659730965
803,Xavi Espart,es ESP,DF,Barcelona,es La Liga,18.0,2007.0,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,803,es ESP,DF,es La Liga,18-342,2007.0,1.0,0,0,0,0.0,0.0,0.0,,,0,0,1000,es ESP,DF,es La Liga,18-342,2007.0,2,91,46,3.1,1.0,1,90.0,1,1,1.0,9,3.0,5,2,3,2.97,1.28,803,es ESP,DF,es La Liga,18-342,2007.0,1.0,0,0,0,0,3,0,0,5,1,0,0.0,0.0,4.945054945054945,1.4835164835164836,1.3051144288972858,0.17840205461919778
1868,Alieu Njie,se SWE,FW,Torino,it Serie A,20.0,2005.0,11,1,179,2.0,1,1,2,1,0,0,2,0,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1868,se SWE,FW,it Serie A,20-349,2005.0,2.0,1,3,2,66.7,1.51,1.01,0.33,0.5,0,0,2339,se SWE,FW,it Serie A,20-349,2005.0,11,179,16,5.8,2.0,1,45.0,0,10,13.0,21,0.73,4,4,0,0.0,0.53,1868,se SWE,FW,it Serie A,20-349,2005.0,2.0,2,0,0,7,2,0,2,0,0,0,0.5027932960893855,0.5027932960893855,0.0,0.35195530726256985,0.17859217646669356,0.17336313079587629
1797,Jamal Musiala,de GER,MF,Bayern Munich,de Bundesliga,23.0,2003.0,12,4,494,5.5,3,4,7,2,1,1,1,0,1.09,,,,,,,,,,,,,,,,,,,,,,,,,1797,de GER,MF,de Bundesliga,23-061,2003.0,5.5,3,24,6,25.0,4.37,1.09,0.08,0.33,1,1,2253,de GER,MF,de Bundesliga,23-061,2003.0,12,494,41,17.7,5.5,4,74.0,1,8,25.0,0,2.58,25,7,18,3.28,0.81,1797,de GER,MF,de Bundesliga,23-061,2003.0,5.5,1,0,0,5,16,0,4,3,2,0,0.5465587044534413,0.728744939271255,0.5465587044534413,0.6012145748987855,0.4469999682808903,0.1542146066178952
